time,t2m_mean,runoff,e_load,energy
2017-04-01,279.16672,6288019.729927182,15427.208333333334,0.19247100669655653
2017-04-02,278.62408,6494626.355648041,12936.833333333334,0.13853059711740107
2017-04-03,280.52826,4787549.185603857,17789.916666666668,0.3852619762774185
2017-04-04,279.40994,5887214.790061116,19698.041666666668,0.46277298500040664
2017-04-05,277.88956,4846553.8657307625,19894.875,0.34714639768453526
2017-04-06,278.81442,3137850.003875792,19557.541666666668,0.2970455427170448
2017-04-07,279.35556,3752151.465162635,19378.666666666668,0.3158300303831422
2017-04-08,281.025,5053461.860999465,15233.75,0.21344190740540764
2017-04-09,281.88904,6212390.462338924,12578.125,0.2132019352421786
2017-04-10,282.23837,6274008.529767394,18022.958333333332,0.22830684973876364
2017-04-11,281.03598,5606440.207883716,19263.708333333332,0.30312483751884783
2017-04-12,281.21786,4800592.111900449,19461.291666666668,0.24986434906884136
2017-04-13,282.11307,4165152.7643948793,19096.458333333332,0.23095987532112944
2017-04-14,281.72485,5462182.305157185,18202.416666666668,0.27251505492029593
2017-04-15,280.6636,6563542.285382748,13524.583333333334,0.28286052151283786
2017-04-16,279.24194,3896837.8259688616,10138.833333333334,0.28923311562525417
2017-04-17,277.2501,3409155.2485227585,10362.166666666666,0.35054600333028035
2017-04-18,273.93686,2902010.7389986515,17293.708333333332,0.3246423414883874
2017-04-19,272.25406,2410751.261033118,18905.458333333332,0.219374552551904
2017-04-20,273.15137,2042725.4341095686,19093.0,0.1626877948824603
2017-04-21,275.96127,2194654.5993238688,18982.5,0.3170165594124415
2017-04-22,279.55426,2608000.527881086,14866.208333333334,0.24671804737317138
2017-04-23,279.71063,3342244.792379439,12363.291666666666,0.20860246878028815
2017-04-24,279.13214,4811983.301252127,14911.458333333334,0.3472930473398419
2017-04-25,279.17627,6978901.552945375,12788.125,0.14876940941517452
2017-04-26,277.0292,17132815.742135048,18593.125,0.29733884202765815
2017-04-27,276.81238,20967176.928639412,19499.916666666668,0.2488111379080027
2017-04-28,274.1915,7666938.993871212,18696.0,0.2593565813032355
2017-04-29,274.77173,2658957.2335854173,14403.0,0.38418210154288773
2017-04-30,277.03104,3450102.5939285755,11981.375,0.43809584754835107
2017-05-01,275.6489,7144405.594825745,11227.458333333334,0.40545963334919816
2017-05-02,275.93463,4644586.592376232,17662.458333333332,0.31397691201154
2017-05-03,276.90637,5952784.607082605,19345.291666666668,0.3705970107467534
2017-05-04,276.585,6636845.874235034,19549.625,0.32984173835835046
2017-05-05,279.40936,4467164.792373776,18754.0,0.23561266893040408
2017-05-06,278.72018,10077798.507839441,15215.166666666666,0.2667690547896444
2017-05-07,280.0019,4904264.892235398,11991.166666666666,0.27132852589099665
2017-05-08,280.25012,6087461.193621159,17670.833333333332,0.2474912910102428
2017-05-09,280.1526,6030831.0405910015,18624.708333333332,0.22506722553517125
2017-05-10,279.93344,4747216.998368502,19237.0,0.25419717979381057
2017-05-11,280.36487,9923790.389508009,19295.625,0.2177080791961466
2017-05-12,281.78314,13046134.557574987,19042.875,0.2149617311058584
2017-05-13,283.16248,8122544.343084097,14532.291666666666,0.23553267820932772
2017-05-14,283.39496,7742332.713007927,12093.666666666666,0.3454399289682397
2017-05-15,283.93124,7313361.311554909,17620.041666666668,0.34589320972100573
2017-05-16,285.02707,4676198.9332437515,18884.791666666668,0.36925050027530143
2017-05-17,286.37683,5149662.911981344,19327.5,0.36825061626184696
2017-05-18,286.01413,6521373.730957508,19620.5,0.4001935775450048
2017-05-19,282.5,14060106.47624731,19643.625,0.4150185245178226
2017-05-20,280.6985,5360268.065810204,14736.541666666666,0.35342566928902913
2017-05-21,283.7949,3835851.0615080595,12058.791666666666,0.34795963668214486
2017-05-22,285.3808,4912526.4747440815,17649.25,0.41791152226341743
2017-05-23,286.68402,5505819.622159004,19385.75,0.3447466760522446
2017-05-24,287.23166,6189977.344125509,19889.541666666668,0.3540389314839479
2017-05-25,286.4632,4762612.511396408,19756.666666666668,0.39786051484694446
2017-05-26,286.70145,5132395.430415869,19426.333333333332,0.3899680970340774
2017-05-27,288.13638,4675149.521425366,15558.833333333334,0.34084046250634925
2017-05-28,288.95032,5465139.286860824,13113.875,0.3766629737617103
2017-05-29,288.88116,5598773.913025856,18976.75,0.42832364779018967
2017-05-30,288.88748,5449725.1452207565,20872.958333333332,0.5302851535888504
2017-05-31,288.57895,5658585.833013058,20973.666666666668,0.4634929014900938
2017-06-01,287.60898,5550089.898005128,20125.875,0.48173078589550283
2017-06-02,286.9217,6059816.747143865,14374.875,0.3215626987269477
2017-06-03,287.57327,5664321.375712752,14873.083333333334,0.3071777007200498
2017-06-04,286.78668,8521134.547948837,13438.25,0.33801412369498474
2017-06-05,284.9166,10212441.148906946,19532.083333333332,0.5081677192112382
2017-06-06,283.5779,19279280.605614185,20852.0,0.6770947903376542
2017-06-07,283.34235,4338797.509789467,20364.583333333332,0.6181416289043804
2017-06-08,284.69235,2932989.2930835485,20006.75,0.4790910920999831
2017-06-09,286.90982,3541056.585818529,20217.416666666668,0.5159668145161828
2017-06-10,288.69556,3526540.757253766,16307.375,0.40560628300450485
2017-06-11,290.2613,2850162.1367409825,13686.25,0.36289123794973116
2017-06-12,291.57864,3595043.545767665,20430.333333333332,0.5506561238896288
2017-06-13,291.69058,3110319.812886417,22303.041666666668,0.5407772698366989
2017-06-14,289.99594,8662504.187852144,22805.958333333332,0.7494064021906792
2017-06-15,290.01892,5955077.582255006,22151.166666666668,0.5845455260523112
2017-06-16,290.46683,4478539.422959089,22613.833333333332,0.6377526873549335
