,time,ID,SWE_output
165,2017-08-14,1,0.0014342171
166,2017-08-15,1,0.0
167,2017-08-16,1,0.0020426216
168,2017-08-17,1,0.0
169,2017-08-18,1,8.227865e-05
170,2017-08-19,1,0.0
171,2017-08-20,1,0.0037382892
172,2017-08-21,1,0.0012337988
173,2017-08-22,1,0.0023100742
174,2017-08-23,1,0.0
175,2017-08-24,1,0.0
176,2017-08-25,1,0.006885393
177,2017-08-26,1,0.008054573
178,2017-08-27,1,0.0062212497
179,2017-08-28,1,0.008344917
180,2017-08-29,1,0.005409538
181,2017-08-30,1,0.007622761
182,2017-08-31,1,0.012299986
183,2017-09-01,1,0.0
184,2017-09-02,1,0.015380688
185,2017-09-03,1,0.009365126
186,2017-09-04,1,0.007863975
187,2017-09-05,1,0.009117221
188,2017-09-06,1,0.009252605
189,2017-09-07,1,0.014925189
190,2017-09-08,1,0.0057397615
191,2017-09-09,1,0.0055391807
192,2017-09-10,1,0.0
193,2017-09-11,1,0.011306582
194,2017-09-12,1,0.0017088326
195,2017-09-13,1,0.0
196,2017-09-14,1,0.0
197,2017-09-15,1,0.0003796186
198,2017-09-16,1,0.04025452
199,2017-09-17,1,0.032823175
200,2017-09-18,1,0.06557905
201,2017-09-19,1,0.038966097
202,2017-09-20,1,0.03817761
203,2017-09-21,1,0.04330817
204,2017-09-22,1,0.048928678
205,2017-09-23,1,0.0428708
206,2017-09-24,1,0.0072905635
207,2017-09-25,1,0.009201035
208,2017-09-26,1,0.0064296
209,2017-09-27,1,0.0068411124
210,2017-09-28,1,0.0064508086
211,2017-09-29,1,0.004469303
212,2017-09-30,1,0.006015539
213,2017-10-01,1,0.007501778
214,2017-10-02,1,0.007148898
215,2017-10-03,1,0.0119888885
216,2017-10-04,1,0.010006298
217,2017-10-05,1,0.011611078
218,2017-10-06,1,0.00783071
219,2017-10-07,1,0.012731536
220,2017-10-08,1,0.011446342
221,2017-10-09,1,0.011270279
222,2017-10-10,1,0.012729396
223,2017-10-11,1,0.016110806
224,2017-10-12,1,0.015616169
225,2017-10-13,1,0.015295406
226,2017-10-14,1,0.012732163
227,2017-10-15,1,0.012616042
228,2017-10-16,1,0.0125433
229,2017-10-17,1,0.01507236
230,2017-10-18,1,0.01673431
231,2017-10-19,1,0.016914342
232,2017-10-20,1,0.01689175
233,2017-10-21,1,0.009586583
234,2017-10-22,1,0.066277035
235,2017-10-23,1,0.06338224
236,2017-10-24,1,0.044939883
237,2017-10-25,1,0.052516665
238,2017-10-26,1,0.058471873
239,2017-10-27,1,0.0024947969
240,2017-10-28,1,0.010198553
241,2017-10-29,1,0.0030003986
242,2017-10-30,1,0.006900766
243,2017-10-31,1,0.005735411
244,2017-11-01,1,0.014129683
245,2017-11-02,1,0.0114365695
246,2017-11-03,1,0.012897987
247,2017-11-04,1,0.007646494
248,2017-11-05,1,0.21537007
249,2017-11-06,1,0.32858726
250,2017-11-07,1,0.2888519
251,2017-11-08,1,0.24703923
252,2017-11-09,1,0.23309448
253,2017-11-10,1,0.26425222
254,2017-11-11,1,0.2754126
255,2017-11-12,1,0.26997498
256,2017-11-13,1,0.32198733
257,2017-11-14,1,0.17886664
258,2017-11-15,1,0.18097056
259,2017-11-16,1,0.15500487
260,2017-11-17,1,0.15698901
261,2017-11-18,1,0.15128927
262,2017-11-19,1,0.0938968
263,2017-11-20,1,0.18200636
264,2017-11-21,1,0.07420788
265,2017-11-22,1,0.087593555
266,2017-11-23,1,0.09003816
267,2017-11-24,1,0.09841107
268,2017-11-25,1,0.19645546
269,2017-11-26,1,0.23319109
270,2017-11-27,1,0.089379214
271,2017-11-28,1,0.0828007
272,2017-11-29,1,0.2076334
273,2017-11-30,1,0.34587654
274,2017-12-01,1,0.37724355
275,2017-12-02,1,0.22216146
276,2017-12-03,1,0.27112508
277,2017-12-04,1,0.10803217
278,2017-12-05,1,0.10212067
279,2017-12-06,1,0.10479261
280,2017-12-07,1,0.10512627
281,2017-12-08,1,0.17192082
282,2017-12-09,1,0.27330872
283,2017-12-10,1,0.23100346
284,2017-12-11,1,0.4873772
285,2017-12-12,1,0.39685223
286,2017-12-13,1,0.4282416
287,2017-12-14,1,0.41424906
288,2017-12-15,1,0.44002026
289,2017-12-16,1,0.43506634
290,2017-12-17,1,0.560108
291,2017-12-18,1,0.46437323
292,2017-12-19,1,0.4313744
293,2017-12-20,1,0.40078035
294,2017-12-21,1,0.4350097
295,2017-12-22,1,0.42372027
296,2017-12-23,1,0.4244437
297,2017-12-24,1,0.4146195
298,2017-12-25,1,0.4241482
299,2017-12-26,1,0.39269772
300,2017-12-27,1,0.48724994
301,2017-12-28,1,1.3309748
302,2017-12-29,1,1.3162447
303,2017-12-30,1,1.3631268
304,2017-12-31,1,1.2769095
305,2018-01-01,1,0.8099564
306,2018-01-02,1,0.8457817
307,2018-01-03,1,0.850939
308,2018-01-04,1,0.8145576
309,2018-01-05,1,0.77184325
310,2018-01-06,1,0.435386
311,2018-01-07,1,0.42959094
312,2018-01-08,1,0.4408934
313,2018-01-09,1,0.4406246
314,2018-01-10,1,0.50660557
315,2018-01-11,1,0.73025393
316,2018-01-12,1,0.7732921
317,2018-01-13,1,0.7839187
318,2018-01-14,1,0.53128695
319,2018-01-15,1,0.5354511
320,2018-01-16,1,0.5221036
321,2018-01-17,1,0.5376342
322,2018-01-18,1,0.52520865
323,2018-01-19,1,0.48324022
324,2018-01-20,1,0.46882394
325,2018-01-21,1,0.49293637
326,2018-01-22,1,0.47849253
327,2018-01-23,1,0.47126013
328,2018-01-24,1,0.48892015
329,2018-01-25,1,0.50998425
330,2018-01-26,1,0.48388135
331,2018-01-27,1,0.52223986
332,2018-01-28,1,0.5315444
333,2018-01-29,1,0.51578957
334,2018-01-30,1,0.5202903
335,2018-01-31,1,0.52031434
336,2018-02-01,1,0.7698762
337,2018-02-02,1,0.8921716
338,2018-02-03,1,0.89755225
339,2018-02-04,1,0.8839518
340,2018-02-05,1,0.8814471
341,2018-02-06,1,0.88901925
342,2018-02-07,1,0.87024283
343,2018-02-08,1,0.8695821
344,2018-02-09,1,0.88847286
345,2018-02-10,1,0.8721025
346,2018-02-11,1,0.8562435
347,2018-02-12,1,0.9048738
348,2018-02-13,1,0.90738153
349,2018-02-14,1,1.0033861
350,2018-02-15,1,3.395533
351,2018-02-16,1,6.018303
352,2018-02-17,1,3.3986082
353,2018-02-18,1,6.0745997
354,2018-02-19,1,6.0997043
355,2018-02-20,1,6.055085
356,2018-02-21,1,6.055327
357,2018-02-22,1,6.230806
358,2018-02-23,1,6.2659655
359,2018-02-24,1,6.2449174
360,2018-02-25,1,6.170023
361,2018-02-26,1,6.2118707
362,2018-02-27,1,6.217401
363,2018-02-28,1,6.1858897
364,2018-03-01,1,6.186138
365,2018-03-02,1,6.3000474
366,2018-03-03,1,6.367859
367,2018-03-04,1,5.625484
368,2018-03-05,1,5.628151
369,2018-03-06,1,5.4932857
370,2018-03-07,1,5.4923434
371,2018-03-08,1,5.562441
372,2018-03-09,1,5.5061646
373,2018-03-10,1,5.4231653
374,2018-03-11,1,6.2540264
375,2018-03-12,1,6.055622
376,2018-03-13,1,5.942489
377,2018-03-14,1,6.092699
378,2018-03-15,1,6.109433
379,2018-03-16,1,5.9877834
380,2018-03-17,1,3.5883372
381,2018-03-18,1,1.613758
382,2018-03-19,1,1.6617689
383,2018-03-20,1,1.559513
384,2018-03-21,1,1.5287983
385,2018-03-22,1,1.4636139
386,2018-03-23,1,1.0450733
387,2018-03-24,1,0.8165957
388,2018-03-25,1,0.77946395
389,2018-03-26,1,0.7842711
390,2018-03-27,1,0.71950567
391,2018-03-28,1,0.7358291
392,2018-03-29,1,0.93602073
393,2018-03-30,1,0.71075904
394,2018-03-31,1,0.84137255
395,2018-04-01,1,0.66946805
396,2018-04-02,1,0.48699313
397,2018-04-03,1,0.6493174
398,2018-04-04,1,0.7522512
399,2018-04-05,1,0.6555707
400,2018-04-06,1,0.66909486
401,2018-04-07,1,0.6451987
402,2018-04-08,1,0.43744323
403,2018-04-09,1,0.4092992
404,2018-04-10,1,0.42577302
405,2018-04-11,1,0.66791356
406,2018-04-12,1,1.2249765
407,2018-04-13,1,0.94652796
408,2018-04-14,1,0.66185373
409,2018-04-15,1,0.43731707
410,2018-04-16,1,0.39951265
411,2018-04-17,1,0.45485932
412,2018-04-18,1,0.49585745
413,2018-04-19,1,0.48484445
414,2018-04-20,1,0.48324686
415,2018-04-21,1,0.4927128
416,2018-04-22,1,0.48563513
417,2018-04-23,1,0.44653863
418,2018-04-24,1,0.44468978
419,2018-04-25,1,0.4157927
420,2018-04-26,1,0.383229
421,2018-04-27,1,0.30664033
422,2018-04-28,1,0.2908127
423,2018-04-29,1,0.21701878
424,2018-04-30,1,0.16988009
425,2018-05-01,1,0.16713363
426,2018-05-02,1,0.1348544
427,2018-05-03,1,0.17727211
428,2018-05-04,1,0.13795269
429,2018-05-05,1,0.1359925
430,2018-05-06,1,0.15102392
431,2018-05-07,1,0.11138868
432,2018-05-08,1,0.14424247
433,2018-05-09,1,0.11097146
434,2018-05-10,1,0.105877556
435,2018-05-11,1,0.11201764
436,2018-05-12,1,0.11640341
437,2018-05-13,1,0.099228054
438,2018-05-14,1,0.069469824
439,2018-05-15,1,0.13538094
440,2018-05-16,1,0.093006894
441,2018-05-17,1,0.08097465
442,2018-05-18,1,0.085500196
443,2018-05-19,1,0.087961175
444,2018-05-20,1,0.041537162
445,2018-05-21,1,0.08045509
446,2018-05-22,1,0.1034913
447,2018-05-23,1,0.0857698
448,2018-05-24,1,0.09838818
449,2018-05-25,1,0.087579325
450,2018-05-26,1,0.08852528
451,2018-05-27,1,0.09328192
452,2018-05-28,1,0.088591136
453,2018-05-29,1,0.091520585
454,2018-05-30,1,0.08899444
455,2018-05-31,1,0.08958081
456,2018-06-01,1,0.08737475
457,2018-06-02,1,0.08461615
458,2018-06-03,1,0.040131696
459,2018-06-04,1,0.07912099
460,2018-06-05,1,0.08172535
461,2018-06-06,1,0.088667795
462,2018-06-07,1,0.08270646
463,2018-06-08,1,0.083279975
464,2018-06-09,1,0.07542177
465,2018-06-10,1,0.077400066
466,2018-06-11,1,0.07921776
467,2018-06-12,1,0.08922611
468,2018-06-13,1,0.041164245
469,2018-06-14,1,0.039509118
470,2018-06-15,1,0.03984687
471,2018-06-16,1,0.0391869
472,2018-06-17,1,0.03300855
473,2018-06-18,1,0.032448445
474,2018-06-19,1,0.03624828
475,2018-06-20,1,0.037693795
476,2018-06-21,1,0.039921064
477,2018-06-22,1,0.024462955
478,2018-06-23,1,0.008121524
479,2018-06-24,1,0.03473075
480,2018-06-25,1,0.039774608
481,2018-06-26,1,0.045006186
482,2018-06-27,1,0.042833135
483,2018-06-28,1,0.045641188
484,2018-06-29,1,0.048451632
485,2018-06-30,1,0.04446288
486,2018-07-01,1,0.046010494
487,2018-07-02,1,0.044498757
488,2018-07-03,1,0.031252153
489,2018-07-04,1,0.04981753
490,2018-07-05,1,0.041281253
491,2018-07-06,1,0.04730152
492,2018-07-07,1,0.03250089
493,2018-07-08,1,0.035483632
494,2018-07-09,1,0.035204712
495,2018-07-10,1,0.048132863
496,2018-07-11,1,0.050417017
497,2018-07-12,1,0.04204058
498,2018-07-13,1,0.045289535
499,2018-07-14,1,0.044650048
500,2018-07-15,1,0.04497281
501,2018-07-16,1,0.04375792
502,2018-07-17,1,0.0051375413
503,2018-07-18,1,0.00628191
504,2018-07-19,1,0.0063208835
505,2018-07-20,1,0.016501771
506,2018-07-21,1,0.0
507,2018-07-22,1,0.0037986606
508,2018-07-23,1,0.0014347922
509,2018-07-24,1,0.0
510,2018-07-25,1,0.0
511,2018-07-26,1,0.009335683
512,2018-07-27,1,0.0
513,2018-07-28,1,0.0063311458
514,2018-07-29,1,0.005930989
515,2018-07-30,1,0.0061550434
516,2018-07-31,1,0.0060919365
517,2018-08-01,1,0.0
518,2018-08-02,1,0.0
519,2018-08-03,1,0.0
520,2018-08-04,1,0.0
521,2018-08-05,1,0.008430741
522,2018-08-06,1,0.0076895347
523,2018-08-07,1,0.0056044725
524,2018-08-08,1,0.008586995
525,2018-08-09,1,0.008430741
526,2018-08-10,1,0.009253546
527,2018-08-11,1,0.0075750477
528,2018-08-12,1,0.008602572
529,2018-08-13,1,0.007521658
530,2018-08-14,1,0.009898334
531,2018-08-15,1,0.0069130533
532,2018-08-16,1,0.0057988823
533,2018-08-17,1,0.006583213
534,2018-08-18,1,0.0
535,2018-08-19,1,0.0
536,2018-08-20,1,0.0
537,2018-08-21,1,0.0
538,2018-08-22,1,0.00058832887
539,2018-08-23,1,0.0069835344
540,2018-08-24,1,0.010883686
541,2018-08-25,1,0.0
542,2018-08-26,1,0.009605182
543,2018-08-27,1,0.01413846
544,2018-08-28,1,0.008940172
545,2018-08-29,1,0.005176086
546,2018-08-30,1,0.011501144
547,2018-08-31,1,0.003164301
548,2018-09-01,1,0.007776707
549,2018-09-02,1,0.0
550,2018-09-03,1,0.010009775
551,2018-09-04,1,0.014061057
552,2018-09-05,1,0.014672337
553,2018-09-06,1,0.014271807
554,2018-09-07,1,0.015591403
555,2018-09-08,1,0.0101652555
556,2018-09-09,1,0.0118327215
557,2018-09-10,1,0.0124696195
558,2018-09-11,1,0.018500276
559,2018-09-12,1,0.01913793
560,2018-09-13,1,0.012712507
561,2018-09-14,1,0.02120658
562,2018-09-15,1,0.004787065
563,2018-09-16,1,0.0036935299
564,2018-09-17,1,0.0026971335
565,2018-09-18,1,0.014329628
566,2018-09-19,1,0.012654974
567,2018-09-20,1,0.016423995
568,2018-09-21,1,0.006942567
569,2018-09-22,1,0.011934984
